symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
AAPL,2015-09-09 00:00:00+00:00,101.9642671545,105.5466703673,101.6125066324,105.3059921153,85010804,110.15,0.0,114.02,109.77,113.76,1.0,85010804
AAPL,2015-09-10 00:00:00+00:00,104.2044262695,104.8639772486,101.7328457584,102.0753494247,62892831,112.57,0.0,113.2825,109.9,110.27,1.0,62892831
AAPL,2015-09-11 00:00:00+00:00,105.7225506284,105.7225506284,103.4546209459,103.4823915134,49915473,114.21,0.0,114.21,111.76,111.79,1.0,49915473
AAPL,2015-09-14 00:00:00+00:00,106.7408047716,108.2033879954,106.3242462585,107.9164254641,58363431,115.31,0.0,116.89,114.86,116.58,1.0,58363431
AAPL,2015-09-15 00:00:00+00:00,107.6387197887,107.8701411849,105.9169446012,107.3147298341,43341155,116.28,0.0,116.53,114.42,115.93,1.0,43341155
AAPL,2015-09-16 00:00:00+00:00,107.7590589147,107.8793980408,106.8611438976,107.6109492212,37173489,116.41,0.0,116.54,115.44,116.25,1.0,37173489
AAPL,2015-09-17 00:00:00+00:00,105.4541018088,107.8331137615,105.264336264,107.0647947262,64112641,113.92,0.0,116.49,113.715,115.66,1.0,64112641
AAPL,2015-09-18 00:00:00+00:00,105.019029584,105.805862331,103.5564463602,103.871179459,74285291,113.45,0.0,114.3,111.87,112.21,1.0,74285291
AAPL,2015-09-21 00:00:00+00:00,106.6482362131,106.7963459067,105.2134235568,105.2226804127,50221965,115.21,0.0,115.37,113.66,113.67,1.0,50221965
AAPL,2015-09-22 00:00:00+00:00,104.9727453048,105.6947800609,104.1582345588,104.9542315931,50346159,113.4,0.0,114.18,112.5201,113.38,1.0,50346159
AAPL,2015-09-23 00:00:00+00:00,105.8243760427,106.1946502766,104.8801767463,105.1856529893,35756716,114.32,0.0,114.72,113.3,113.63,1.0,35756716
AAPL,2015-09-24 00:00:00+00:00,106.4538422403,106.9166850327,104.0192891526,104.8338924671,50219475,115.0,0.0,115.5,112.37,113.25,1.0,50219475
AAPL,2015-09-25 00:00:00+00:00,106.1853934208,108.0182508785,105.5466703673,107.7868294823,56151926,114.71,0.0,116.69,114.02,116.44,1.0,56151926
AAPL,2015-09-28 00:00:00+00:00,104.0840871435,106.0557974389,104.0840871435,105.3893038179,50782189,112.44,0.0,114.57,112.44,113.85,1.0,50782189
AAPL,2015-09-29 00:00:00+00:00,100.9552698672,105.0745707191,99.8444471656,104.4451045215,73365384,109.06,0.0,113.51,107.86,112.83,1.0,73365384
